news_desk,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
Business / Energy & Environment,1,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0
Business / Global Business,1,32,62.5,0.0,0.0,0.0,62.5,0.0,62.5,0.0,62.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,0,0
Business / Media & Advertising,1,51,156.86274509803923,0.0,0.0,0.0,156.86274509803923,0.0,156.86274509803923,0.0,156.86274509803923,0.0,156.86274509803923,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,8,0,0,0,0,0
Business / World Business,4,165,32.765737874097006,0.0,25.062656641604008,9.803921568627452,42.56965944272446,25.062656641604008,17.50700280112045,25.062656641604008,42.56965944272446,12.15010047198467,53.97685389945452,11.904761904761903,0.0,25.062656641604008,0.0,0.125,1.0,6,0,4,2,9,2,0,2,4,0
Business / Your Money,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0
Business/Financial Desk,96,12258,33.45208205902972,2.967850957595109,2.7218963871275377,7.955308164400267,41.407390223429985,5.6897473447226465,35.71764287870734,5.6897473447226465,41.407390223429985,0.6392582960227361,61.842760384143986,2.6330931803432196,6.32332109671342,3.1833065928590223,1.2680862509433046,0.12338934307180276,0.2512152777777778,397,41,40,105,715,43,77,109,42,14
Business/Financial Desk;,1,157,12.738853503184714,12.738853503184714,0.0,0.0,12.738853503184714,12.738853503184714,0.0,12.738853503184714,12.738853503184714,0.9272137227630969,12.738853503184714,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,2,0,0,0,0,0
Circuits,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.727272727272727,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0
CityWeekly,2,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Climate,13,712,6.054131054131053,0.0,3.01659125188537,12.571318004573273,18.62544905870433,3.01659125188537,15.608857806818959,3.01659125188537,18.62544905870433,3.01659125188537,18.004609086716044,0.0,9.605461617845519,0.0,0.0,0.0,0.0,4,0,2,9,13,0,7,9,0,0
Connecticut Weekly Desk,11,1266,4.914795582534922,0.0,5.693296602387512,0.6101281269066504,5.524923709441572,5.693296602387512,-0.16837289294593785,5.693296602387512,5.524923709441572,4.08464204084642,1.0101010101010102,0.0,0.9136592051164917,0.0,2.525252525252525,0.0,0.0,4,0,3,1,2,0,2,1,0,5
ContinuousNews,14,439,11.591478696741856,21.831498635790986,0.0,14.098297828586384,25.689776525328238,21.831498635790986,3.858277889537253,21.831498635790986,25.689776525328238,10.591881206778984,23.84433305485937,22.06492533980592,0.0,13.66156399526811,4.926108374384236,0.7142857142857143,0.26785714285714285,6,10,0,6,12,10,0,6,6,2
Cultural Desk,2,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
Culture,36,1694,3.237612612612613,0.9746588693957113,3.492063492063492,5.941258173401031,9.178870786013643,4.466722361459203,4.7121484245544405,4.466722361459203,9.178870786013643,4.466722361459203,5.140221201267713,3.7696899252963325,1.2919896640826873,1.5873015873015872,1.861861861861862,0.16666666666666666,0.05555555555555555,4,2,5,8,7,6,2,8,2,3
EdLife,2,80,47.61904761904761,0.0,0.0,0.0,47.61904761904761,0.0,47.61904761904761,0.0,47.61904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0
Editorial,48,1963,19.113799403138124,21.435509892885012,3.036462182803646,14.864340306238859,33.97813970937698,24.471972075688658,9.506167633688323,24.471972075688658,33.97813970937698,8.32837081846956,29.201689912374196,27.408566774673215,3.2496438746438745,9.372988466877958,8.254855288001142,1.125,0.3020833333333333,38,44,6,29,57,57,6,29,20,14
Editorial Desk,55,5596,10.121814136238878,15.700848569192281,2.4207389133060038,9.684328200615264,19.80614233685414,18.12158748249829,1.6845548543558548,18.12158748249829,19.80614233685414,6.720887321582602,11.876031905085286,22.31218786263551,0.26542800265428,6.49853346734381,14.581235271586312,1.9696969696969695,0.3906060606060606,58,90,12,55,68,124,2,61,38,76
Education Life Supplement,2,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Election Analytics,5,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Entertaining Magazine,2,273,18.75,0.0,0.0,0.0,18.75,0.0,18.75,0.0,18.75,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,8,0,0,0,0,0
Express,9,436,0.0,8.309591642924977,0.0,2.05761316872428,2.05761316872428,8.309591642924977,-6.251978474200696,8.309591642924977,2.05761316872428,2.45300767122399,15.19812268604539,8.23045267489712,13.633407655146787,0.0,15.436119286169944,0.4444444444444444,0.0,0,4,0,1,7,4,6,1,0,7
Financial Desk,4,426,15.944717003709465,11.928899702622331,0.0,9.124087591240874,25.06880459495034,11.928899702622331,13.139904892328008,11.928899702622331,25.06880459495034,4.769744523842885,53.370560376891206,3.6496350364963503,0.0,7.299270072992701,7.299270072992701,0.08333333333333333,0.16666666666666666,8,6,0,5,23,2,0,5,4,4
Foreign,399,20021,6.81227141499991,17.366287402132915,2.8122398252544434,10.798777673401608,17.61104908840152,20.17852722738736,-2.567478138985841,20.17852722738736,17.61104908840152,9.97450275650269,10.624286100430815,25.557151590797808,1.836197490439679,7.646386687690185,13.88346895672344,1.199874686716792,0.24441460794844252,140,369,58,230,207,536,38,244,159,286
Foreign Desk,164,18317,8.830997879389235,16.22356156259378,1.8442473763485518,10.181740068732127,19.012737948121362,18.06780893894233,0.94492900917903,18.06780893894233,19.012737948121362,6.428322396576735,15.503279838947918,26.805804220356233,2.278151534146125,6.224477757061838,9.627272995245965,2.2461659275683665,0.45963995354239257,177,294,39,179,302,476,44,199,116,153
Health,1,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.94736842105263,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0,3,0,0,0,0
Health & Fitness,2,227,17.241379310344826,0.0,0.0,0.0,17.241379310344826,0.0,17.241379310344826,0.0,17.241379310344826,0.0,17.629698664181422,0.0,0.0,0.0,8.620689655172413,0.0,0.0,4,0,0,0,4,0,0,0,0,2
Home,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
Home Desk,3,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
House & Home/Style Desk,9,608,1.1757789535567313,0.0,0.0,1.1757789535567313,2.3515579071134627,0.0,2.3515579071134627,0.0,2.3515579071134627,0.0,2.939447383891828,0.0,5.899705014749262,0.0,0.0,0.0,0.0,2,0,0,2,5,0,6,2,0,0
IHT News,153,8095,18.913064877255177,10.376775328521067,4.564205719670657,9.462360844377066,28.375425721632247,14.940981048191725,13.43444467344052,14.940981048191725,28.375425721632247,9.667628801668986,26.355833822705748,16.3709110295408,2.012659010591027,6.526296123672932,4.8210772508606325,0.6960965867828613,0.27381730469965765,154,85,37,77,215,135,16,89,53,38
Insider,2,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
International,1,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
International / Africa,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
International / Asia Pacific,12,428,0.0,20.9413038946443,0.0,14.85303314571607,14.85303314571607,20.9413038946443,-6.0882707489282275,20.9413038946443,14.85303314571607,20.9413038946443,0.0,42.43798207212841,0.0,6.4102564102564115,15.347490347490348,1.4166666666666667,0.16666666666666666,0,9,0,7,0,17,0,9,2,6
International / Europe,1,65,0.0,30.76923076923077,0.0,0.0,0.0,30.76923076923077,-30.76923076923077,30.76923076923077,0.0,30.76923076923077,0.0,46.15384615384615,0.0,30.76923076923077,0.0,3.0,2.0,0,2,0,0,0,3,0,0,2,0
Investigative,1,60,33.333333333333336,0.0,0.0,0.0,33.333333333333336,0.0,33.333333333333336,0.0,33.333333333333336,0.0,50.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,2,0,0,0,3,0,0,0,0,1
Learning,7,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Leisure/Weekend Desk,8,982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580046403712297,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0
Living Desk,1,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Long Island Weekly Desk,8,667,11.363636363636363,1.4792899408284024,0.0,1.4792899408284024,12.842926304464765,1.4792899408284024,11.363636363636363,1.4792899408284024,12.842926304464765,0.11526048870447211,27.165142549757935,0.0,0.0,0.0,2.9585798816568047,0.0,0.0,4,2,0,2,14,0,0,2,0,4
Magazine,17,1056,22.284601963048686,9.96057682332192,0.0,7.454497005340598,29.739098968389282,9.96057682332192,19.77852214506736,9.96057682332192,29.739098968389282,3.6794850160878934,33.33340285107293,20.237246413717003,0.0,2.8151260504201683,3.5417798849390025,1.1176470588235294,0.11764705882352941,22,12,0,9,30,19,0,9,4,4
Magazine Desk,11,7124,5.031703108416135,3.4842675926197373,1.8068838610599336,4.560208156937421,9.591911265353557,5.291151453679671,4.300759811673885,5.291151453679671,9.591911265353557,2.193807487777805,6.438442077912947,5.250686665284107,0.0,2.078834133010205,0.0,0.743801652892562,0.1694214876033058,17,13,6,8,36,14,0,14,7,0
Metro,34,1520,6.800377296997193,1.934984520123839,0.0,0.0,6.800377296997193,1.934984520123839,4.865392776873355,1.934984520123839,6.800377296997193,1.934984520123839,9.602028013579584,1.547987616099071,0.7739938080495355,1.547987616099071,5.15874799117508,0.058823529411764705,0.058823529411764705,12,3,0,0,16,2,1,0,2,7
Metropolitan,1,36,0.0,27.777777777777775,0.0,0.0,0.0,27.777777777777775,-27.777777777777775,27.777777777777775,0.0,27.777777777777775,0.0,55.55555555555555,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0,2,0,0,0,0
Metropolitan Desk,22,2087,4.424741248048231,0.7215007215007214,3.5348716169326853,0.6939625260235947,5.118703774071826,4.256372338433407,0.8623314356384189,4.256372338433407,5.118703774071826,4.256372338433407,10.231615344113452,0.0,0.0,0.6939625260235947,8.725120513598286,0.0,0.09090909090909091,12,2,5,2,29,0,0,2,2,17
Money and Business/Financial Desk,11,736,22.34711309973147,0.0,3.7488284910965324,2.4793388429752063,24.82645194270668,3.7488284910965324,21.077623451610147,3.7488284910965324,24.82645194270668,0.17340789872978715,30.074355674527542,0.0,14.940758065890332,1.8744142455482662,0.0,0.0,0.18181818181818182,16,0,4,3,26,0,12,3,2,0
"Movies, Performing Arts/Weekend Desk",2,17445,0.9759458063034617,0.574085768413801,0.1722257305241403,0.574085768413801,1.5500315747172628,0.7463114989379414,0.8037200757793215,0.7463114989379414,1.5500315747172628,0.18202439126842998,1.4352144210345026,0.574085768413801,0.3444514610482806,0.4592686147310408,0.2296343073655204,0.19607843137254902,0.32,34,20,6,20,50,20,12,24,16,8
Museums,1,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
National,60,2889,9.133201086221014,7.8935493883543755,1.0082047003198442,6.150472438696073,15.283673524917086,8.901754088674219,6.381919436242867,8.901754088674219,15.283673524917086,5.527184904508028,20.22201267424152,14.768881237511948,2.2649669585204673,3.166664219393174,3.3782072831391456,0.7375,0.09166666666666666,28,23,3,19,60,48,6,20,8,10
National Desk,41,4021,6.6984341883516425,4.632211812716535,3.49259603432254,2.8227139606516065,9.521148149003249,8.124807847039074,1.3963403019641742,8.124807847039074,9.521148149003249,4.085983330986385,11.921051262377379,6.630012217227236,0.3768880226992634,3.211897341825776,5.481057642061987,0.4894308943089431,0.18292682926829268,28,23,13,9,55,27,2,9,12,20
New Jersey Weekly Desk,6,428,0.0,0.0,0.0,1.8939393939393938,1.8939393939393938,0.0,1.8939393939393938,0.0,1.8939393939393938,0.0,1.8939393939393938,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0
NewsDesk,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.23809523809523,0.0,0.0,0,0,0,0,0,0,0,0,0,4
OpEd,85,3675,10.186852312420124,14.65161286226191,0.26143790849673204,11.373417875263426,21.56027018768355,14.913050770758641,6.647219416924909,14.913050770758641,21.56027018768355,4.011678319138006,25.82605709557212,16.76658322032618,3.418777923610283,8.427119621847236,14.403239312750351,0.5764705882352941,0.23725490196078433,39,56,1,42,98,64,12,42,31,50
Opinion,1,29,68.9655172413793,0.0,0.0,68.9655172413793,137.9310344827586,0.0,137.9310344827586,0.0,137.9310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,0,0,2,0,0
Outlook,6,777,47.85199164239145,0.0,0.0,0.0,47.85199164239145,0.0,47.85199164239145,0.0,47.85199164239145,0.0,65.29214442076805,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,0,47,0,0,0,0,0
Podcasts,3,138,0.0,21.620142309797483,0.0,13.683634373289545,13.683634373289545,21.620142309797483,-7.936507936507936,21.620142309797483,13.683634373289545,0.9548551268886962,0.0,29.55665024630542,0.0,21.620142309797483,0.0,1.3333333333333333,0.5,0,3,0,2,0,4,0,2,3,0
Politics,11,543,2.6737967914438503,18.8023088023088,3.1897926634768736,7.310030395136778,9.983827186580628,21.992101465785677,-12.008274279205047,21.992101465785677,9.983827186580628,16.797296270980482,8.02139037433155,20.620490620490617,0.0,3.6363636363636362,5.05050505050505,1.0,0.09090909090909091,2,10,2,4,6,11,0,4,2,2
RealEstate,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Science,25,1302,6.7101787101787105,7.1235116025680325,2.245459548706659,1.0126582278481013,7.722836938026811,9.368971151274692,-1.64613421324788,9.368971151274692,7.722836938026811,7.157966275379742,12.07376117768705,7.205937272276599,7.429343639599437,4.613624361908115,3.1076923076923078,0.4133333333333333,0.24,8,10,3,2,17,11,9,2,6,4
Science Desk,6,659,18.970189701897016,0.0,0.0,0.0,18.970189701897016,0.0,18.970189701897016,0.0,18.970189701897016,0.0,26.863912797122296,0.0,2.207505518763797,0.0,0.0,0.0,0.0,14,0,0,0,21,0,2,0,0,0
Society,5,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Sophisticated Traveler Magazine,3,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.157232704402514,0.0,0.0,0,0,0,0,0,0,0,0,0,4
SpecialSections,8,400,24.107142857142858,0.0,0.0,1.8656716417910448,25.9728144989339,0.0,25.9728144989339,0.0,25.9728144989339,0.0,33.035714285714285,1.8656716417910448,3.472222222222222,0.0,1.8656716417910448,0.125,0.0,9,0,0,1,12,1,1,1,0,1
Styles,10,420,0.0,0.0,2.7027027027027026,0.0,0.0,2.7027027027027026,-2.7027027027027026,2.7027027027027026,0.0,2.7027027027027026,10.822510822510822,0.0,0.0,0.0,6.0606060606060606,0.0,0.0,0,0,1,0,4,0,0,0,0,2
Summary,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
SundayBusiness,15,678,27.352549044064357,2.811902811902812,0.0,2.0202020202020203,29.372751064266378,2.811902811902812,26.560848252363567,2.811902811902812,29.372751064266378,1.0320524973142688,68.57702833187382,3.822003822003822,9.985569985569986,1.8018018018018018,1.0101010101010102,0.14444444444444446,0.06666666666666667,16,2,0,1,41,3,7,3,1,1
T: Living Magazine,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
TStyle,6,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Television,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Arts/Cultural Desk,18,1580,2.7499691014707697,2.873563218390805,3.2679738562091503,4.088274543883496,6.838243645354265,6.141537074599955,0.6967065707543105,6.141537074599955,6.838243645354265,3.425503786895981,8.307514664462957,3.2679738562091503,0.7507507507507508,3.2679738562091503,0.0,0.1111111111111111,0.1111111111111111,3,3,2,6,12,2,1,6,2,0
The City Weekly Desk,4,320,0.0,2.976190476190476,0.0,0.0,0.0,2.976190476190476,-2.976190476190476,2.976190476190476,0.0,2.976190476190476,0.0,0.0,0.0,0.0,2.976190476190476,0.0,0.0,0,1,0,0,0,0,0,0,0,1
The Millennium,4,239,13.721804511278194,0.0,0.0,11.904761904761905,25.6265664160401,0.0,25.6265664160401,0.0,25.6265664160401,0.0,7.142857142857142,0.0,3.571428571428571,0.0,0.0,0.0,0.0,4,0,0,2,2,0,1,2,0,0
US,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275862068965,0.0,0.0,0,0,0,0,0,0,0,0,0,1
Unknown,504,16898,15.06689806899037,10.882437477046084,5.726939651337999,5.819481155863936,20.88637922485431,16.609377128384082,4.277002096470225,16.609377128384082,20.88637922485431,10.196496986155102,28.866702255231317,14.818548565307186,6.267721921956161,8.454886712643315,7.113245575308414,0.36684854497354497,0.20816798941798942,240,163,78,94,478,227,91,122,124,122
Upshot,4,143,39.1941391941392,12.82051282051282,19.230769230769234,0.0,39.1941391941392,32.05128205128205,7.142857142857144,32.05128205128205,39.1941391941392,0.41131951299769653,84.06593406593406,6.41025641025641,0.0,19.230769230769234,0.0,0.041666666666666664,0.75,6,2,3,0,13,1,0,0,3,0
Washington,68,4035,15.564361261042905,24.621477549382398,4.512333568745957,16.11591350143434,31.680274762477243,29.133811118128357,2.54646364434889,29.133811118128357,31.680274762477243,5.23845725470844,29.18173766894871,38.959775208578606,3.2766385536017837,14.143405901089189,2.161932361884205,1.8419435956200663,0.43259803921568624,63,101,19,62,114,162,14,68,58,9
Weekend,8,350,0.0,3.472222222222222,0.0,0.0,0.0,3.472222222222222,-3.472222222222222,3.472222222222222,0.0,3.472222222222222,2.3584905660377355,0.0,2.9069767441860463,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,0,0
Weekend Desk,1,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Well,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Westchester Weekly Desk,8,642,17.48472453668636,0.0,0.0,3.289473684210526,20.774198220896885,0.0,20.774198220896885,0.0,20.774198220896885,0.0,19.0091147805888,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,2,10,0,0,5,0,0
