year,date,decade,sample_window,headline,abstract,lead_paragraph,snippet,section,news_desk,type_of_material,document_type,word_count,keywords,url,text_without_keywords,text,tokens_without_keywords,tokens,clean_text,analysis_tokens,analysis_clean_text,text_token_count_without_keywords,text_token_count_with_keywords,quality_reasons,quality_score,quality_flag
1990,1990-01-03T05:00:00Z,1990s,Jan-Feb,"Kawaguchi Journal;   Fellow Asians, Yes, but Where's the Fellowship?",,,,World,Foreign Desk,News,article,1130.0,"Japan; Bangladesh; Pakistan; KAWAGUCHI (JAPAN); Social Conditions and Trends; FOREIGN LABOR; LABOR; FOREIGN POPULATION AND FOREIGN DESCENT GROUPS; RACIAL RELATIONS; MINORITIES (ETHNIC, RACIAL, RELIGIOUS); Immigration and Emigration",https://www.nytimes.com/1990/01/03/world/kawaguchi-journal-fellow-asians-yes-but-where-s-the-fellowship.html,"Kawaguchi Journal;   Fellow Asians, Yes, but Where's the Fellowship?   ","Kawaguchi Journal;   Fellow Asians, Yes, but Where's the Fellowship?    Japan; Bangladesh; Pakistan; KAWAGUCHI (JAPAN); Social Conditions and Trends; FOREIGN LABOR; LABOR; FOREIGN POPULATION AND FOREIGN DESCENT GROUPS; RACIAL RELATIONS; MINORITIES (ETHNIC, RACIAL, RELIGIOUS); Immigration and Emigration","['kawaguchi', 'journal', 'fellow', 'asians', 'yes', 'wheres', 'fellowship']","['kawaguchi', 'journal', 'fellow', 'asians', 'yes', 'wheres', 'fellowship', 'japan', 'bangladesh', 'pakistan', 'kawaguchi', 'japan', 'social', 'conditions', 'trends', 'foreign', 'labor', 'labor', 'foreign', 'population', 'foreign', 'descent', 'groups', 'racial', 'relations', 'minorities', 'ethnic', 'racial', 'religious', 'immigration', 'emigration']",kawaguchi journal fellow asians yes wheres fellowship japan bangladesh pakistan kawaguchi japan social conditions trends foreign labor labor foreign population foreign descent groups racial relations minorities ethnic racial religious immigration emigration,"['kawaguchi', 'journal', 'fellow', 'asians', 'yes', 'wheres', 'fellowship', 'japan', 'bangladesh', 'pakistan', 'kawaguchi', 'japan', 'social', 'conditions', 'trends', 'foreign', 'labor', 'labor', 'foreign', 'population', 'foreign', 'descent', 'groups', 'racial', 'relations', 'minorities', 'ethnic', 'racial', 'religious', 'immigration', 'emigration']",kawaguchi journal fellow asians yes wheres fellowship japan bangladesh pakistan kawaguchi japan social conditions trends foreign labor labor foreign population foreign descent groups racial relations minorities ethnic racial religious immigration emigration,7,31,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-03T05:00:00Z,1990s,Jan-Feb,METROPOLITAN DIARY,,,,Home & Garden,Living Desk,News,article,677.0,METROPOLITAN DIARY (TIMES COLUMN),https://www.nytimes.com/1990/01/03/garden/metropolitan-diary-809590.html,METROPOLITAN DIARY   ,METROPOLITAN DIARY    METROPOLITAN DIARY (TIMES COLUMN),"['metropolitan', 'diary']","['metropolitan', 'diary', 'metropolitan', 'diary', 'column']",metropolitan diary metropolitan diary column,"['metropolitan', 'diary', 'metropolitan', 'diary']",metropolitan diary metropolitan diary,2,5,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-03T05:00:00Z,1990s,Jan-Feb,To Lithuania: Stay Put,"LEAD: The Lithuanian Communist Party, by breaking with Moscow, has raised the expectations of secessionist movements in Lithuania, the other Baltic republics and among each of the 104 ethnic nationalities in 12 other republics, 20 autonomous republics and 18 national districts that comprise the Soviet Union.",,"LEAD: The Lithuanian Communist Party, by breaking with Moscow, has raised the expectations of secessionist movements in Lithuania, the other Baltic republics and among each of the 104 ethnic nationalities in 12 other republics, 20 autonomous republics and 18 national districts that comprise the Soviet Union.",Opinion,Editorial Desk,Op-Ed,article,701.0,"UNION OF SOVIET SOCIALIST REPUBLICS (USSR); Lithuania; Schaeffer, Robert",https://www.nytimes.com/1990/01/03/opinion/to-lithuania-stay-put.html,"To Lithuania: Stay Put LEAD: The Lithuanian Communist Party, by breaking with Moscow, has raised the expectations of secessionist movements in Lithuania, the other Baltic republics and among each of the 104 ethnic nationalities in 12 other republics, 20 autonomous republics and 18 national districts that comprise the Soviet Union.  LEAD: The Lithuanian Communist Party, by breaking with Moscow, has raised the expectations of secessionist movements in Lithuania, the other Baltic republics and among each of the 104 ethnic nationalities in 12 other republics, 20 autonomous republics and 18 national districts that comprise the Soviet Union.","To Lithuania: Stay Put LEAD: The Lithuanian Communist Party, by breaking with Moscow, has raised the expectations of secessionist movements in Lithuania, the other Baltic republics and among each of the 104 ethnic nationalities in 12 other republics, 20 autonomous republics and 18 national districts that comprise the Soviet Union.  LEAD: The Lithuanian Communist Party, by breaking with Moscow, has raised the expectations of secessionist movements in Lithuania, the other Baltic republics and among each of the 104 ethnic nationalities in 12 other republics, 20 autonomous republics and 18 national districts that comprise the Soviet Union. UNION OF SOVIET SOCIALIST REPUBLICS (USSR); Lithuania; Schaeffer, Robert","['lithuania', 'stay', 'put', 'lead', 'lithuanian', 'communist_party', 'breaking', 'moscow', 'raised', 'expectations', 'secessionist', 'movements', 'lithuania', 'baltic', 'republics', 'among', 'ethnic', 'nationalities', 'republics', 'autonomous', 'republics', 'national', 'districts', 'comprise', 'soviet', 'union', 'lead', 'lithuanian', 'communist_party', 'breaking', 'moscow', 'raised', 'expectations', 'secessionist', 'movements', 'lithuania', 'baltic', 'republics', 'among', 'ethnic', 'nationalities', 'republics', 'autonomous', 'republics', 'national', 'districts', 'comprise', 'soviet', 'union']","['lithuania', 'stay', 'put', 'lead', 'lithuanian', 'communist_party', 'breaking', 'moscow', 'raised', 'expectations', 'secessionist', 'movements', 'lithuania', 'baltic', 'republics', 'among', 'ethnic', 'nationalities', 'republics', 'autonomous', 'republics', 'national', 'districts', 'comprise', 'soviet', 'union', 'lead', 'lithuanian', 'communist_party', 'breaking', 'moscow', 'raised', 'expectations', 'secessionist', 'movements', 'lithuania', 'baltic', 'republics', 'among', 'ethnic', 'nationalities', 'republics', 'autonomous', 'republics', 'national', 'districts', 'comprise', 'soviet', 'union', 'union', 'soviet', 'socialist', 'republics', 'ussr', 'lithuania', 'schaeffer', 'robert']",lithuania stay put lead lithuanian communist_party breaking moscow raised expectations secessionist movements lithuania baltic republics among ethnic nationalities republics autonomous republics national districts comprise soviet union lead lithuanian communist_party breaking moscow raised expectations secessionist movements lithuania baltic republics among ethnic nationalities republics autonomous republics national districts comprise soviet union union soviet socialist republics ussr lithuania schaeffer robert,"['lithuania', 'stay', 'put', 'lead', 'lithuanian', 'communist_party', 'breaking', 'moscow', 'raised', 'expectations', 'secessionist', 'movements', 'lithuania', 'baltic', 'republics', 'ethnic', 'nationalities', 'republics', 'autonomous', 'republics', 'national', 'districts', 'comprise', 'soviet', 'union', 'lead', 'lithuanian', 'communist_party', 'breaking', 'moscow', 'raised', 'expectations', 'secessionist', 'movements', 'lithuania', 'baltic', 'republics', 'ethnic', 'nationalities', 'republics', 'autonomous', 'republics', 'national', 'districts', 'comprise', 'soviet', 'union', 'union', 'soviet', 'socialist', 'republics', 'ussr', 'lithuania', 'schaeffer', 'robert']",lithuania stay put lead lithuanian communist_party breaking moscow raised expectations secessionist movements lithuania baltic republics ethnic nationalities republics autonomous republics national districts comprise soviet union lead lithuanian communist_party breaking moscow raised expectations secessionist movements lithuania baltic republics ethnic nationalities republics autonomous republics national districts comprise soviet union union soviet socialist republics ussr lithuania schaeffer robert,49,57,,100,keep
1990,1990-01-03T05:00:00Z,1990s,Jan-Feb,U.S. Aid for Khmer Rouge Is Repugnant,,,,Opinion,Editorial Desk,Letter,article,425.0,"Cambodia; Khmer Rouge; KOLSKY, PETER J; United States International Relations",https://www.nytimes.com/1990/01/03/opinion/l-us-aid-for-khmer-rouge-is-repugnant-569990.html,U.S. Aid for Khmer Rouge Is Repugnant   ,"U.S. Aid for Khmer Rouge Is Repugnant    Cambodia; Khmer Rouge; KOLSKY, PETER J; United States International Relations","['us', 'aid', 'khmer', 'rouge', 'repugnant']","['us', 'aid', 'khmer', 'rouge', 'repugnant', 'cambodia', 'khmer', 'rouge', 'kolsky', 'peter', 'united_states', 'international', 'relations']",us aid khmer rouge repugnant cambodia khmer rouge kolsky peter united_states international relations,"['us', 'aid', 'khmer', 'rouge', 'repugnant', 'cambodia', 'khmer', 'rouge', 'kolsky', 'peter', 'united_states', 'international', 'relations']",us aid khmer rouge repugnant cambodia khmer rouge kolsky peter united_states international relations,5,13,very_short_text_without_keywords; empty_or_nearly_empty_description; letter_or_correction,40,suspicious
1990,1990-01-04T05:00:00Z,1990s,Jan-Feb,China Faults Report on 2 Rebels,,,,World,Foreign Desk,News,article,400.0,China; United States Foreign Service; Fang Lizhi; LI SHUXIAN; United States International Relations; China-International Relations-US; Demonstrations and Riots; Freedom and Human Rights,https://www.nytimes.com/1990/01/04/world/china-faults-report-on-2-rebels.html,China Faults Report on 2 Rebels   ,China Faults Report on 2 Rebels    China; United States Foreign Service; Fang Lizhi; LI SHUXIAN; United States International Relations; China-International Relations-US; Demonstrations and Riots; Freedom and Human Rights,"['china', 'faults', 'report', 'rebels']","['china', 'faults', 'report', 'rebels', 'china', 'united_states', 'foreign', 'service', 'fang', 'lizhi', 'li', 'shuxian', 'united_states', 'international', 'relations', 'chinainternational', 'relationsus', 'demonstrations', 'riots', 'freedom', 'human_rights']",china faults report rebels china united_states foreign service fang lizhi li shuxian united_states international relations chinainternational relationsus demonstrations riots freedom human_rights,"['faults', 'report', 'rebels', 'united_states', 'foreign', 'service', 'fang', 'lizhi', 'li', 'shuxian', 'united_states', 'international', 'relations', 'chinainternational', 'relationsus', 'demonstrations', 'riots', 'freedom', 'human_rights']",faults report rebels united_states foreign service fang lizhi li shuxian united_states international relations chinainternational relationsus demonstrations riots freedom human_rights,4,21,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-04T05:00:00Z,1990s,Jan-Feb,News Summary,,,,New York,Metropolitan Desk,Summary,article,848.0,NO INDEX TERMS,https://www.nytimes.com/1990/01/04/nyregion/news-summary-075490.html,News Summary   ,News Summary    NO INDEX TERMS,"['news', 'summary']","['news', 'summary', 'index', 'terms']",news summary index terms,"['news', 'summary', 'index', 'terms']",news summary index terms,2,4,very_short_text_without_keywords; empty_or_nearly_empty_description; low_value_format_or_digest; low_value_headline_pattern,20,suspicious
1990,1990-01-04T05:00:00Z,1990s,Jan-Feb,"The Peabody, Ready or Not, Is Pushed to Go Out on Its Own",,,,Arts,Cultural Desk,News,article,1286.0,PEABODY CONSERVATORY; Johns Hopkins University; Reform and Reorganization; Finances,https://www.nytimes.com/1990/01/04/arts/the-peabody-ready-or-not-is-pushed-to-go-out-on-its-own.html,"The Peabody, Ready or Not, Is Pushed to Go Out on Its Own   ","The Peabody, Ready or Not, Is Pushed to Go Out on Its Own    PEABODY CONSERVATORY; Johns Hopkins University; Reform and Reorganization; Finances","['peabody', 'ready', 'pushed', 'go']","['peabody', 'ready', 'pushed', 'go', 'peabody', 'conservatory', 'johns', 'hopkins', 'university', 'reform', 'reorganization', 'finances']",peabody ready pushed go peabody conservatory johns hopkins university reform reorganization finances,"['peabody', 'ready', 'pushed', 'peabody', 'conservatory', 'johns', 'hopkins', 'university', 'reform', 'reorganization', 'finances']",peabody ready pushed peabody conservatory johns hopkins university reform reorganization finances,4,12,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-04T05:00:00Z,1990s,Jan-Feb,The Soviets' Terminal Crisis,,,,Opinion,Editorial Desk,Op-Ed,article,1914.0,"UNION OF SOVIET SOCIALIST REPUBLICS (USSR); Daedalus; Z; Gorbachev, Mikhail S; Reform and Reorganization; Economic Conditions and Trends",https://www.nytimes.com/1990/01/04/opinion/the-soviets-terminal-crisis.html,The Soviets' Terminal Crisis   ,"The Soviets' Terminal Crisis    UNION OF SOVIET SOCIALIST REPUBLICS (USSR); Daedalus; Z; Gorbachev, Mikhail S; Reform and Reorganization; Economic Conditions and Trends","['soviets', 'terminal', 'crisis']","['soviets', 'terminal', 'crisis', 'union', 'soviet', 'socialist', 'republics', 'ussr', 'daedalus', 'gorbachev', 'mikhail', 'reform', 'reorganization', 'economic', 'conditions', 'trends']",soviets terminal crisis union soviet socialist republics ussr daedalus gorbachev mikhail reform reorganization economic conditions trends,"['soviets', 'terminal', 'crisis', 'union', 'soviet', 'socialist', 'republics', 'ussr', 'daedalus', 'gorbachev', 'mikhail', 'reform', 'reorganization', 'economic', 'conditions', 'trends']",soviets terminal crisis union soviet socialist republics ussr daedalus gorbachev mikhail reform reorganization economic conditions trends,3,16,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-05T05:00:00Z,1990s,Jan-Feb,U.S. Accused of Failing to Assail Rights Abuse,,,,World,Foreign Desk,News,article,427.0,"Human Rights Watch; State Department; Bush, George; United States International Relations",https://www.nytimes.com/1990/01/05/world/us-accused-of-failing-to-assail-rights-abuse.html,U.S. Accused of Failing to Assail Rights Abuse   ,"U.S. Accused of Failing to Assail Rights Abuse    Human Rights Watch; State Department; Bush, George; United States International Relations","['us', 'accused', 'failing', 'assail', 'rights', 'abuse']","['us', 'accused', 'failing', 'assail', 'rights', 'abuse', 'human_rights', 'watch', 'state', 'department', 'bush', 'george', 'united_states', 'international', 'relations']",us accused failing assail rights abuse human_rights watch state department bush george united_states international relations,"['us', 'accused', 'failing', 'assail', 'rights', 'abuse', 'human_rights', 'watch', 'state', 'department', 'bush', 'george', 'united_states', 'international', 'relations']",us accused failing assail rights abuse human_rights watch state department bush george united_states international relations,6,15,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
1990,1990-01-05T05:00:00Z,1990s,Jan-Feb,"With Official Permission, Change Stirs Mongolia",,,,World,Foreign Desk,News,article,960.0,Mongolia; ULAN BATUR (MONGOLIA); Reform and Reorganization; Demonstrations and Riots,https://www.nytimes.com/1990/01/05/world/with-official-permission-change-stirs-mongolia.html,"With Official Permission, Change Stirs Mongolia   ","With Official Permission, Change Stirs Mongolia    Mongolia; ULAN BATUR (MONGOLIA); Reform and Reorganization; Demonstrations and Riots","['official', 'permission', 'change', 'stirs', 'mongolia']","['official', 'permission', 'change', 'stirs', 'mongolia', 'mongolia', 'ulan', 'batur', 'mongolia', 'reform', 'reorganization', 'demonstrations', 'riots']",official permission change stirs mongolia mongolia ulan batur mongolia reform reorganization demonstrations riots,"['official', 'permission', 'change', 'stirs', 'mongolia', 'mongolia', 'ulan', 'batur', 'mongolia', 'reform', 'reorganization', 'demonstrations', 'riots']",official permission change stirs mongolia mongolia ulan batur mongolia reform reorganization demonstrations riots,5,13,very_short_text_without_keywords; empty_or_nearly_empty_description,60,suspicious
