section,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
Giving,1,33,60.60606060606061,0.0,0.0,30.303030303030305,90.9090909090909,0.0,90.9090909090909,0.0,90.9090909090909,0.0,60.60606060606061,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,2,0,0,1,0,0
Great Homes & Destinations,2,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Health,21,1149,9.759393022639447,14.63441892446659,2.070393374741201,4.568149638572174,14.32754266121162,16.70481229920779,-2.3772696379961706,16.70481229920779,14.32754266121162,12.672981342214733,19.702806979029496,14.023611112516388,3.084543510075425,6.160747465095292,0.8210180623973726,0.5396825396825398,0.17142857142857143,21,12,2,5,31,12,3,5,6,2
Home & Garden,15,1031,1.7311083977750645,0.0,0.0,1.7311083977750645,3.462216795550129,0.0,3.462216795550129,0.0,3.462216795550129,0.0,4.45597612264279,0.0,3.5398230088495577,0.0,0.0,0.0,0.0,3,0,0,3,7,0,6,3,0,0
Magazine,34,8391,12.770204928364857,6.107551456332052,0.5845800726958609,5.202609965208876,17.972814893573734,6.692131529027912,11.28068336454582,6.692131529027912,17.972814893573734,2.549503754089707,20.532257997980675,11.817374775038653,5.147058823529412,2.080127009419268,3.5534211367654014,0.7994652406417112,0.11363636363636365,39,25,6,17,68,33,7,24,11,6
Movies,18,997,0.9578544061302681,5.776938004368997,0.0,0.0,0.9578544061302681,5.776938004368997,-4.819083598238729,5.776938004368997,0.9578544061302681,3.0609047166650227,8.495923834443598,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0,7,0,0,0,0,0
New York,101,7230,6.07333439767754,1.3186074135286465,1.3900340415720962,1.202894359727129,7.276228757404669,2.7086414551007425,4.567587302303927,2.7086414551007425,7.276228757404669,2.425399516546847,9.340923724254685,1.4519670590540834,0.3600598092075804,0.6722648962365098,4.264368928068407,0.04950495049504951,0.039603960396039604,41,9,8,9,72,5,3,12,4,34
Obituaries,1,36,0.0,55.55555555555555,0.0,0.0,0.0,55.55555555555555,-55.55555555555555,55.55555555555555,0.0,55.55555555555555,0.0,55.55555555555555,0.0,55.55555555555555,0.0,2.0,2.0,0,2,0,0,0,2,0,0,2,0
Opinion,295,16105,12.993369152935202,15.345960835184599,2.6382224180331013,10.684404364095327,23.67777351703053,17.9841832532177,5.693590263812827,17.9841832532177,23.67777351703053,7.680501362368063,21.439114654308142,20.456898799721625,2.1713498271403213,8.46347008623733,11.127893932158404,0.9766478342749528,0.31887005649717515,201,251,39,166,317,341,26,179,134,177
Podcasts,3,138,0.0,21.620142309797483,0.0,13.683634373289545,13.683634373289545,21.620142309797483,-7.936507936507936,21.620142309797483,13.683634373289545,0.9548551268886962,0.0,29.55665024630542,0.0,21.620142309797483,0.0,1.3333333333333333,0.5,0,3,0,2,0,4,0,2,3,0
Reader Center,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.23809523809523,0.0,0.0,0,0,0,0,0,0,0,0,0,4
Science,41,2244,9.007617825129037,5.6794025027622626,0.30873726458783574,3.6963400226137417,12.70395784774278,5.9881397673500985,6.7158180803926815,5.9881397673500985,12.70395784774278,3.069018159061791,14.871430691369735,4.740052953058847,10.803252905393743,1.802638407123153,2.5917984454569822,0.25,0.0975609756097561,15,12,1,7,31,11,19,7,4,5
T Magazine,10,606,3.75,0.0,0.0,0.0,3.75,0.0,3.75,0.0,3.75,0.0,5.0,0.0,0.0,0.0,7.547169811320754,0.0,0.0,6,0,0,0,8,0,0,0,0,4
Technology,58,2693,9.079506162828693,17.984329806641387,2.7596037014528827,2.5023894373347595,11.581895600163454,20.74393350809427,-9.162037907930817,20.74393350809427,11.581895600163454,14.999908227260336,29.789885740272286,19.982042669265596,40.28383914564511,6.341984503272034,4.897449543474544,0.45632183908045976,0.27011494252873564,24,47,10,7,88,58,112,9,18,12
The Learning Network,9,279,5.698005698005698,0.0,0.0,11.396011396011396,17.094017094017094,0.0,17.094017094017094,0.0,17.094017094017094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,4,0,0,0,4,0,0
The Upshot,6,215,26.129426129426133,11.948369091226233,12.820512820512823,3.401360544217687,29.530786673643817,24.768881911739054,4.761904761904763,24.768881911739054,29.530786673643817,0.43309448308521364,73.05075876504448,7.674864817721961,0.0,16.22187336473051,0.0,0.05555555555555555,0.5833333333333334,6,3,3,1,18,2,0,1,4,0
Theater,3,388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.210084033613445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,0,0,0,0,0
Times Insider,3,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Times Topics,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
U.S.,214,12547,10.258222092738567,15.752971868315717,4.328226750534946,9.521800959404843,19.78002305214341,20.08119861885066,-0.3011755667072543,20.08119861885066,19.78002305214341,8.232251774991525,17.852687543382817,24.283058963244848,4.420189551939423,8.200540316944878,3.38580574597245,1.0759679572763685,0.2620716510903427,120,171,51,107,211,269,34,112,92,45
Unknown,18,1014,11.933710073772644,7.078986587183308,3.2564344005021972,13.647516755434381,25.581226829207026,10.335420987685504,15.245805841521522,10.335420987685504,25.581226829207026,9.39993403866393,16.45972607950046,13.187567516844261,0.0,0.9416195856873824,4.19805398618958,0.6055555555555556,0.006944444444444444,12,8,4,14,17,14,0,16,1,4
Washington,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Well,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
World,821,46058,8.671229679119849,15.390788747047448,3.0977865592517992,9.457598138551738,18.128827817671585,18.488575306299246,-0.35974748862766076,18.488575306299246,18.128827817671585,9.44539391797384,14.00534540511882,23.959410897622632,2.094512784761884,7.405740822583963,12.066360118705168,1.2042077289336728,0.2667101676236877,407,763,126,464,652,1179,101,519,332,528
Your Money,13,609,42.60763512864354,4.988662131519275,4.395604395604395,0.0,42.60763512864354,9.38426652712367,33.223368601519866,9.38426652712367,42.60763512864354,0.15117550060278914,74.0120072893182,3.4188034188034186,6.814613957471099,0.0,0.0,0.03076923076923077,0.0,28,3,2,0,46,2,4,0,0,0
